
2024/06/09 (20:27:45) | ===> btop++ v.1.3.2
2024/06/09 (20:27:45) | INFO: Logger set to DEBUG
2024/06/09 (20:27:45) | DEBUG: Using locale en_US.UTF-8
2024/06/09 (20:27:45) | INFO: Running on /dev/pts/1
2024/06/09 (20:27:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/09 (20:27:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/09 (20:27:45) | DEBUG: Shared::init() : Initialized.
2024/06/09 (20:27:45) | DEBUG: Loading theme file: /home/guru/.config/btop/themes/catppuccin_mocha.theme
2024/06/09 (20:27:52) | DEBUG: Loading theme file: /nix/store/xdc1fmw0mzbr73g94qichqa43xhfn5lw-btop-1.3.2/share/btop/themes/solarized_light.theme
2024/06/09 (20:27:54) | DEBUG: Loading theme file: /home/guru/.config/btop/themes/catppuccin_frappe.theme
2024/06/09 (20:27:54) | DEBUG: Loading theme file: /home/guru/.config/btop/themes/catppuccin_macchiato.theme
2024/06/09 (20:27:55) | DEBUG: Loading theme file: /home/guru/.config/btop/themes/catppuccin_mocha.theme
2024/06/09 (20:28:02) | DEBUG: Writing new config file
2024/06/09 (20:28:02) | INFO: Quitting! Runtime: 00:00:17
